id,labels,sentences,NUM,NUM+NOUN,NUM+*+PRON,NUM+*+PRON|NOUN,NUM+*+PRON|ADV,NUM+*+PRON|[discount],NUM+*+PRON|$PERCENT,NUM+*+NOUN+PRON,NUM+*+NOUN+PRON|ADV,NUM+*+NOUN+PRON|[discount],NUM+*+NOUN,NUM+*+NOUN+ADV|PRON,NUM+*+NOUN+ADV,NUM+*+NOUN+ADV|[discount],NUM+*+NOUN+[discount]|PRON,NUM+*+NOUN+[discount],NUM+*+NOUN+[discount]|ADV,NUM+*+ADV+PRON,NUM+*+ADV,NUM+*+[discount]|PRON,NUM+*+[discount],NUM+*+[discount]|NOUN,NUM+*+[discount]|ADV,NUM+*+[discount]|$MONEY,NUM+*+[discount]|$PERCENT,NUM+*+$MONEY,NUM+*+$MONEY|NOUN+PRON,NUM+*+$MONEY|NOUN,NUM+*+$MONEY|ADV+PRON,NUM+*+$MONEY|ADV,NUM+*+$MONEY|[discount],NUM+*+$MONEY|$PERCENT,NUM+*+$PERCENT,NUM+*+$PERCENT+NOUN,NUM+*+$PERCENT+NOUN|ADV,NUM+*+$PERCENT+ADV,NUM+*+$PERCENT+ADV|NOUN,NUM+*+$PERCENT+ADV|[discount],NUM+*+$PERCENT+[discount],NUM+*+$PERCENT+[discount]|ADV,NUM+$MONEY,NUM+$MONEY|NOUN+PRON,NUM+$MONEY|NOUN,NUM+$MONEY|NOUN+*+PRON,NUM+$MONEY|NOUN+*+PRON+AUX+VERB,NUM+$MONEY|NOUN+*+PRON+AUX,NUM+$MONEY|NOUN+*+AUX,NUM+$MONEY|NOUN+*+AUX+VERB,NUM+$MONEY|$PERCENT,NUM+$PERCENT,NUM+$PERCENT|NOUN,NUM+$PERCENT|NOUN+ADV,NUM+$PERCENT|NOUN+ADV|[discount],NUM+$PERCENT|NOUN+*+ADV,NUM+$PERCENT|NOUN+*+[discount],NUM+$PERCENT|NOUN+[discount],NUM+$PERCENT|NOUN+[discount]|ADV,NUM+$PERCENT|$MONEY,NUM|[place],NUM|[place]+*+ADV,NUM|[deal],NUM|$ORDINAL,NUM|$ORDINAL+NOUN,NUM|$ORDINAL+*+NOUN,[price],[price]+VERB,[price]+VERB|ADV,[price]+ADV,[price]+ADV|VERB,[price]+*+VERB,[price]+*+ADV,[price]|[place],[price]|[place]+*+VERB,[price]|[place]+*+ADV,[price]|[discount],[price]|[deal],[price]|$MONEY,[price]|$MONEY+*+ADV,[price]|$ORDINAL,[price]|$PERCENT,[price]|$PERCENT+ADV,[price]|$PERCENT+*+ADV,[place],[place]+AUX,[place]+*+VERB,[place]+*+VERB|ADV,[place]+*+VERB|AUX,[place]+*+ADV,[place]+*+ADV+ADJ+PRON,[place]+*+ADV+ADJ+PRON+NOUN,[place]+*+ADV+ADJ,[place]+*+ADV|VERB,[place]+*+ADV|AUX,[place]+*+AUX,[place]+*+AUX+ADV,[place]+*+AUX|VERB,[place]|NUM,[place]|NUM+*+ADV,[place]|[price],[place]|[price]+*+VERB,[place]|[price]+*+ADV,[place]|[discount],[place]|[deal],[place]|$MONEY,[place]|$MONEY+*+ADV,[place]|$MONEY+*+ADV|AUX,[place]|$MONEY+*+AUX,[place]|$ORDINAL,[place]|$PERCENT,[place]|$PERCENT+*+ADV,[discount],[discount]+NOUN,[discount]+*+NOUN,[discount]+*+ADJ,[discount]+*+ADJ+$ORDINAL,[discount]|[price],[discount]|[place],[discount]|[deal],[discount]|$DATE,[discount]|$DATE+NOUN,[discount]|$DATE+*+NOUN,[discount]|$DATE+*+ADJ,[discount]|$MONEY,[discount]|$MONEY+NOUN,[discount]|$MONEY+*+NOUN,[discount]|$PERCENT,[discount]|$PERCENT+NOUN,[discount]|$PERCENT+*+NOUN,[deal],[deal]|NUM,[deal]|[price],[deal]|[place],[deal]|[discount],[deal]|$DATE,[deal]|$MONEY,[deal]|$ORDINAL,[deal]|$PERCENT,$DATE,$DATE+NOUN,$DATE+NOUN+*+ADV+PRON,$DATE+NOUN+*+ADV+PRON+AUX,$DATE+NOUN+*+ADV,$DATE+ADJ,$DATE+ADJ+NOUN,$DATE+ADJ+NOUN+*+ADV+PRON,$DATE+ADJ+NOUN+*+ADV+PRON+AUX,$DATE+ADJ+NOUN+*+ADV,$DATE+ADJ+*+NOUN,$DATE+*+NOUN,$DATE+*+ADJ,$DATE+*+ADJ+NOUN,$DATE+*+ADV+PRON,$DATE+*+ADV+PRON+AUX,$DATE+*+ADV,$DATE|NUM,$DATE|NUM+NOUN,$DATE|NUM+NOUN+*+ADV,$DATE|NUM+*+NOUN,$DATE|NUM+*+ADV+PRON,$DATE|NUM+*+ADV,$DATE|[price],$DATE|[price]+*+ADV,$DATE|[place],$DATE|[place]+*+ADV,$DATE|[discount],$DATE|[discount]+NOUN,$DATE|[discount]+*+NOUN,$DATE|[discount]+*+ADJ,$DATE|[deal],$DATE|$MONEY,$DATE|$MONEY+NOUN,$DATE|$MONEY+*+NOUN,$DATE|$MONEY+*+ADV+PRON,$DATE|$MONEY+*+ADV,$DATE|$MONEY+*+ADV|NOUN,$DATE|$ORDINAL,$DATE|$ORDINAL+NOUN,$DATE|$ORDINAL+*+NOUN,$DATE|$ORDINAL+*+ADJ,$DATE|$ORDINAL+*+ADJ+NOUN,$DATE|$PERCENT,$DATE|$PERCENT+NOUN,$DATE|$PERCENT+NOUN+*+ADV,$DATE|$PERCENT+*+NOUN,$DATE|$PERCENT+*+ADV,$DATE|$PERCENT+*+ADV|NOUN,$MONEY+PRON,$MONEY,$MONEY+NOUN,$MONEY+*+PRON,$MONEY+*+PRON+AUX+VERB,$MONEY+*+PRON+AUX,$MONEY+*+PRON|ADV,$MONEY+*+NOUN+PRON,$MONEY+*+NOUN+PRON+AUX+VERB,$MONEY+*+NOUN+PRON+AUX,$MONEY+*+NOUN,$MONEY+*+NOUN|ADV+PRON,$MONEY+*+NOUN|ADV,$MONEY+*+ADV+PRON,$MONEY+*+ADV+PRON+NOUN,$MONEY+*+ADV,$MONEY+*+ADV|PRON,$MONEY+*+ADV|NOUN+PRON,$MONEY+*+ADV|NOUN,$MONEY+*+ADV|AUX,$MONEY+*+AUX,$MONEY+*+AUX+VERB,$MONEY+*+AUX|ADV,$MONEY|NUM,$MONEY|NUM+NOUN,$MONEY|NUM+*+PRON,$MONEY|NUM+*+PRON|NOUN,$MONEY|NUM+*+PRON|ADV,$MONEY|NUM+*+NOUN+PRON,$MONEY|NUM+*+NOUN,$MONEY|NUM+*+ADV+PRON,$MONEY|NUM+*+ADV,$MONEY|[price],$MONEY|[price]+*+ADV,$MONEY|[place],$MONEY|[place]+*+ADV,$MONEY|[place]+*+ADV|AUX,$MONEY|[place]+*+AUX,$MONEY|[discount],$MONEY|[discount]+NOUN,$MONEY|[discount]+*+NOUN,$MONEY|[deal],$MONEY|$ORDINAL,$MONEY|$ORDINAL+NOUN,$MONEY|$ORDINAL+*+NOUN,$MONEY|$PERCENT,$MONEY|$PERCENT+NOUN,$MONEY|$PERCENT+*+NOUN,$MONEY|$PERCENT+*+NOUN|ADV,$MONEY|$PERCENT+*+ADV,$MONEY|$PERCENT+*+ADV|NOUN,$ORDINAL,$ORDINAL+NOUN,$ORDINAL+NOUN+*+PRON,$ORDINAL+*+NOUN,$ORDINAL+*+ADJ,$ORDINAL+*+ADJ+NOUN,$ORDINAL|NUM,$ORDINAL|NUM+NOUN,$ORDINAL|NUM+*+NOUN,$ORDINAL|[price],$ORDINAL|[place],$ORDINAL|[discount],$ORDINAL|[discount]+NOUN,$ORDINAL|[discount]+*+NOUN,$ORDINAL|[discount]+*+ADJ,$ORDINAL|[deal],$ORDINAL|$DATE,$ORDINAL|$DATE+NOUN,$ORDINAL|$DATE+*+NOUN,$ORDINAL|$DATE+*+ADJ,$ORDINAL|$DATE+*+ADJ+NOUN,$ORDINAL|$MONEY,$ORDINAL|$MONEY+NOUN,$ORDINAL|$MONEY+*+NOUN,$ORDINAL|$PERCENT,$ORDINAL|$PERCENT+NOUN,$ORDINAL|$PERCENT+*+NOUN,$PERCENT,$PERCENT+NOUN,$PERCENT+NOUN+ADV,$PERCENT+NOUN+ADV|[discount],$PERCENT+NOUN+*+ADV,$PERCENT+NOUN+*+ADV|[discount],$PERCENT+NOUN+*+[discount],$PERCENT+NOUN+*+[discount]|ADV,$PERCENT+NOUN+[discount],$PERCENT+NOUN+[discount]|ADV,$PERCENT+ADV,$PERCENT+ADV|NOUN,$PERCENT+ADV|[discount],$PERCENT+*+NOUN,$PERCENT+*+NOUN+ADV,$PERCENT+*+NOUN+ADV|[discount],$PERCENT+*+NOUN+[discount],$PERCENT+*+NOUN+[discount]|ADV,$PERCENT+*+ADV,$PERCENT+*+ADV|NOUN,$PERCENT+*+ADV|[discount],$PERCENT+*+[discount],$PERCENT+*+[discount]|NOUN,$PERCENT+*+[discount]|ADV,$PERCENT+[discount],$PERCENT+[discount]|NOUN,$PERCENT+[discount]|ADV,$PERCENT|NUM,$PERCENT|NUM+NOUN,$PERCENT|NUM+*+NOUN,$PERCENT|NUM+*+NOUN+ADV,$PERCENT|NUM+*+NOUN+ADV|[discount],$PERCENT|NUM+*+NOUN+[discount],$PERCENT|NUM+*+NOUN+[discount]|ADV,$PERCENT|NUM+*+ADV,$PERCENT|NUM+*+[discount],$PERCENT|NUM+*+[discount]|NOUN,$PERCENT|NUM+*+[discount]|ADV,$PERCENT|[price],$PERCENT|[price]+ADV,$PERCENT|[price]+*+ADV,$PERCENT|[place],$PERCENT|[place]+*+ADV,$PERCENT|[discount],$PERCENT|[discount]+NOUN,$PERCENT|[discount]+*+NOUN,$PERCENT|[deal],$PERCENT|$DATE,$PERCENT|$DATE+NOUN,$PERCENT|$DATE+NOUN+*+ADV,$PERCENT|$DATE+*+NOUN,$PERCENT|$DATE+*+ADV,$PERCENT|$DATE+*+ADV|NOUN,$PERCENT|$MONEY,$PERCENT|$MONEY+NOUN,$PERCENT|$MONEY+*+NOUN,$PERCENT|$MONEY+*+NOUN|ADV,$PERCENT|$MONEY+*+ADV,$PERCENT|$MONEY+*+ADV|NOUN,$PERCENT|$ORDINAL,$PERCENT|$ORDINAL+NOUN,$PERCENT|$ORDINAL+*+NOUN
s0,1,"This particular location has a good check in deal.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s1,1,"some of the items they sale here are a bit over priced but if you don't mind paying a bit extra this is the place to go. 
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s2,1,They have some great offers going on now with even 70% off on some items.,1,1,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
s18,1,"I love that for things you order regularly you can establish a standing order and get a 5 % discount ( milk , eggs , etc . ) .",1,1,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1
