id,labels,sentences,ADJ+PRON,ADJ+PRON|NOUN,ADJ+PRON|[location],ADJ,ADJ+NOUN|PRON,ADJ+NOUN,ADJ+*+PRON,ADJ+*+PRON+AUX,ADJ+*+PRON|VERB,ADJ+*+PRON|NOUN,ADJ+*+PRON|[location],ADJ+*+VERB,ADJ+*+VERB|PRON,ADJ+*+VERB|AUX,ADJ+*+NOUN,ADJ+*+NOUN+VERB,ADJ+*+NOUN|PRON,ADJ+*+NOUN|AUX,ADJ+*+AUX,ADJ+*+AUX|VERB,ADJ+*+AUX|NOUN,ADJ+*+AUX|[location],ADJ+*+[location],ADJ+*+[location]+VERB,ADJ+*+[location]|PRON,ADJ+*+[location]|VERB,ADJ+*+[location]|NOUN,ADJ+*+[location]|NOUN+VERB,ADJ+*+[location]|AUX,ADJ+[location]|PRON,ADJ+[location],ADJ+[location]|NOUN,ADJ+[location]|NOUN+VERB,ADJ+[location]|NOUN+*+VERB,ADV,ADV+VERB,ADV+VERB|NUM,ADV+VERB|$PERCENT,ADV+AUX,ADV+AUX|NUM,ADV+AUX|NUM+*+NOUN,ADV+AUX|$PERCENT,ADV+AUX|$PERCENT+*+NOUN,ADV+NUM,ADV+NUM|VERB,ADV+NUM|AUX,ADV+NUM|AUX+*+NOUN,ADV+*+VERB,ADV+*+VERB|NOUN,ADV+*+VERB|NUM,ADV+*+VERB|$PERCENT,ADV+*+NOUN,ADV+*+NOUN|VERB,ADV+*+NOUN|AUX,ADV+*+AUX,ADV+*+AUX|NOUN,ADV+*+AUX|NUM,ADV+*+AUX|$PERCENT,ADV+*+NUM,ADV+*+NUM+NOUN,ADV+*+NUM+$PERCENT,ADV+*+NUM|VERB,ADV+*+NUM|AUX,ADV+*+$PERCENT,ADV+*+$PERCENT+NOUN,ADV+*+$PERCENT|VERB,ADV+*+$PERCENT|AUX,ADV+$PERCENT,ADV+$PERCENT|VERB,ADV+$PERCENT|AUX,ADV+$PERCENT|AUX+*+NOUN,ADV|ADJ,ADV|ADJ+*+VERB,ADV|ADJ+*+NOUN,ADV|ADJ+*+NOUN|VERB,ADV|ADJ+*+NOUN|AUX,ADV|ADJ+*+AUX,ADV|ADJ+*+AUX|VERB,ADV|ADJ+*+AUX|NOUN,ADV|[particular],ADV|[particular]+*+VERB,ADV|[particular]+*+VERB|NOUN,ADV|[particular]+*+NOUN,ADV|[particular]+*+NOUN|VERB,ADV|[location],ADV|[location]+VERB,ADV|[location]+*+VERB,NUM,NUM+NOUN,NUM+NOUN+ADV,NUM+NOUN+*+ADV,NUM+*+NOUN,NUM+*+NOUN+ADV,NUM+*+ADV,NUM+*+$PERCENT,NUM+*+$PERCENT+ADV,NUM+$PERCENT,NUM+$PERCENT+ADV,NUM+$PERCENT+*+ADV,NUM|ADJ,NUM|ADJ+NOUN,NUM|ADJ+*+NOUN,NUM|ADV,NUM|ADV+*+NOUN,NUM|ADV+*+$PERCENT,NUM|ADV+$PERCENT,NUM|[item],NUM|[bit],NUM|[bit]+*+ADV,NUM|[particular],NUM|[particular]+NOUN,NUM|[particular]+*+NOUN,NUM|[location],[item]+PRON,[item],[item]+*+PRON+VERB,[item]+*+PRON+VERB+ADV,[item]+*+PRON+VERB+ADV+AUX,[item]+*+PRON,[item]+*+VERB,[item]+*+VERB+ADV,[item]+*+VERB+ADV+AUX,[item]|ADJ+PRON,[item]|ADJ,[item]|ADJ+*+PRON,[item]|ADJ+*+PRON|VERB,[item]|ADJ+*+VERB,[item]|[particular],[item]|[particular]+*+VERB,[item]|[location],[item]|[location]+*+VERB,[bit],[bit]+ADJ+PRON,[bit]+ADJ+PRON+AUX,[bit]+ADJ+PRON+AUX+*+NOUN,[bit]+ADJ+PRON+*+AUX,[bit]+ADJ,[bit]+ADJ+*+PRON,[bit]+ADJ+*+PRON+AUX,[bit]+ADJ+*+AUX,[bit]+ADV,[bit]+ADV+VERB,[bit]+ADV+*+VERB,[bit]+*+PRON,[bit]+*+PRON+AUX,[bit]+*+VERB,[bit]+*+ADJ+PRON,[bit]+*+ADJ+PRON+AUX,[bit]+*+ADJ,[bit]+*+ADV,[bit]+*+ADV+VERB,[bit]|ADJ,[bit]|ADJ+*+PRON,[bit]|ADJ+*+PRON+AUX,[bit]|ADJ+*+PRON|VERB,[bit]|ADJ+*+VERB,[bit]|ADV,[bit]|ADV+*+VERB,[bit]|NUM,[bit]|NUM+*+ADV,[bit]|[item],[bit]|[item]+*+PRON,[bit]|[item]+*+VERB,[bit]|[particular],[bit]|[particular]+*+VERB,[bit]|[location],[bit]|[location]+*+VERB,[bit]|$PERCENT,[bit]|$PERCENT+ADV,[bit]|$PERCENT+*+ADV,[particular],[particular]+NOUN,[particular]+NOUN+VERB,[particular]+NOUN+VERB+*+ADJ,[particular]+NOUN+*+VERB,[particular]+*+VERB,[particular]+*+NOUN,[particular]+*+NOUN+VERB,[particular]+*+[location],[particular]+*+[location]+VERB,[particular]+[location],[particular]+[location]+VERB,[particular]+[location]+VERB+*+ADJ,[particular]+[location]+VERB+*+ADJ+NOUN,[particular]+[location]+*+VERB,[particular]|ADJ,[particular]|ADJ+NOUN,[particular]|ADJ+*+VERB,[particular]|ADJ+*+NOUN,[particular]|ADJ+*+NOUN+VERB,[particular]|ADJ+*+[location],[particular]|ADJ+*+[location]+VERB,[particular]|ADJ+*+[location]|VERB,[particular]|ADJ+*+[location]|NOUN,[particular]|ADJ+*+[location]|NOUN+VERB,[particular]|ADJ+[location],[particular]|ADJ+[location]|NOUN,[particular]|ADJ+[location]|NOUN+VERB,[particular]|ADJ+[location]|NOUN+*+VERB,[particular]|ADV,[particular]|ADV+*+VERB,[particular]|ADV+*+VERB|NOUN,[particular]|ADV+*+NOUN,[particular]|ADV+*+NOUN|VERB,[particular]|NUM,[particular]|NUM+NOUN,[particular]|NUM+*+NOUN,[particular]|[item],[particular]|[item]+*+VERB,[particular]|[bit],[particular]|[bit]+*+VERB,[particular]|$PERCENT,[particular]|$PERCENT+NOUN,[particular]|$PERCENT+*+NOUN,[location],[location]+VERB,[location]+VERB+*+ADJ,[location]+VERB+*+ADJ+NOUN,[location]+*+VERB,[location]|ADJ,[location]|ADJ+*+VERB,[location]|ADV,[location]|ADV+VERB,[location]|ADV+*+VERB,[location]|NUM,[location]|[item],[location]|[item]+*+VERB,[location]|[bit],[location]|[bit]+*+VERB,[location]|$PERCENT,$PERCENT,$PERCENT+NOUN,$PERCENT+NOUN+ADV,$PERCENT+NOUN+*+ADV,$PERCENT+ADV,$PERCENT+*+NOUN,$PERCENT+*+NOUN+ADV,$PERCENT+*+ADV,$PERCENT|ADJ,$PERCENT|ADJ+NOUN,$PERCENT|ADJ+*+NOUN,$PERCENT|ADV,$PERCENT|ADV+*+NOUN,$PERCENT|[item],$PERCENT|[bit],$PERCENT|[bit]+ADV,$PERCENT|[bit]+*+ADV,$PERCENT|[particular],$PERCENT|[particular]+NOUN,$PERCENT|[particular]+*+NOUN,$PERCENT|[location]
s0,1,"This particular location has a good check in deal.
",0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1
s1,1,"some of the items they sale here are a bit over priced but if you don't mind paying a bit extra this is the place to go. 
",1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0
s2,1,They have some great offers going on now with even 70% off on some items.,0,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
s3,0,"Customer service told me "" nothing was rescheduled""
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s4,0,"The woman told me that her manager said yes they have the calls recorded , but he will not listen to them , and that she was ' proceeding to cancel this call ' ..
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
