id,example,label
547,RT VersaceSilk: When you and your boys discover a hoe ,offensive
83,FreeAJay you understand you look like a real life dyke right? Like you look like a WNBA dyke bro. A sports bra &amp; bball shorts wearing dyke,hate
229,RT DanielGennaoui: A bird that courts females by building a beautiful nest with bright objects:  &#8230; #wildlife ,none
508,"RT DezzzyBo: I want attention yet she's on twitter talking about getting somebodies dick wet tonight and what her tongue does, deez hoes g&#8230;",offensive
257,"RT FriendlyAssh0le: Todays Horoscope: 

you're still a hoe

That is all. have a nice day",none
568,RobFernau GregAbbott_TX NRA dead babies piled up like trash at a dump Something to be proud of,offensive
560,That bitch said her pussy pops severely thoe &#128514;&#128514;&#128514;&#128514;,offensive
350,"almuirSI Probably, yeah. By most accounts, he has the personality to handle it though. And he can wear a yellow suit if he puts up points.",none
216,"Some black people live in an entirely different world where everything is peaches and cream, apparently. Take off the rose colored glasses.",none
268,RT danwashburn: The Man Who Captured Muammar Gaddafi Was Wearing A Yankees Cap: ,none
295,Nothing more yokel MSU fan than to constantly reassess Izzo *aka our only consistent winner since D. Daugherty or Biggie flipping Munn*,none
149,Those guys are the definition of white trash,hate
236,Real talk not being byes or nothin! The whole NFC south glad bag trash this year none of the teams have a chance making it to the playoffs!,none
173,"""ashlingwilde: ItsNotAdam is bored supposed to be cute, you faggot?"" Sometimes",hate
192,Hovaa_ #niggerfood #niggerperson #you #are #a #nigger,hate
227,"&#8220;lakeshow73: WCCORosen Too bad the optimism I have for the Royals, you don't have for the Twins!! Take those ""Rose(ie) colored glasses off",none
570,"There are girls. There are women. There are ladies. And there are bitches. You ma'am, is a beeeitch. A dumb ass bitch hahaha.",offensive
531,Some rednecks just raced down the freeway &gt;_e,offensive
1,RT Asshole_God: Hate fags? The answer's yes.,hate
219,RT chughes717: TyZebruh trash cans are always demanding new music from the gawd Tyga,none
326,TheLittleFella_ do yourself a favor and ball that up and throw in the trash.,none
514,"dont trust a hoe
never trust a hoe",offensive
176,AtBlackface MrMooncricket UncleUnco BobbyBotsods FuckTheMallcops RacistNegro69 ape? Fuck u broke ass racist,hate
461,I don't even play flappy bird anymore because fuck him,offensive
377,"elchavaloko Buckm00se yeah sorry monkey team just keeps kicking ppl, waiting for muh pizza",none
234,RT OGMarcusC: I hate stereotypes. Preconceived notions that black men are athletes or criminals.. Black women are ghetto and confined to t&#8230;,none
333,Some Jihadi posted a bio of the #ISIS boss Mr Awad with excellent sociological info. Can't thank him/her enough for the gift.,none
258,RT SC4K: Getting ready for the annual heart and sole luncheon RenHotels #cle with EricGordon_CEO ,none
337,MillerCoors Thanks for the follow guys! I'm enjoying a cold yellow belly right now.,none
207,Photo check for background spooks. ,none
5,Barbod6FCB _cblaze ODDBEAST cracker jack shut the fuck up,hate
145,People who grow their own vegetables are nothing but common peasant trash.,hate
389,"RT SBNation: Plenty of Kobe vs. Dwight trash talk after the game, too.  ",none
36,sassyharryballs ur ballsack is hairy gtfo tranny prude bitch,hate
358,McKinseey the grass is greener on the other side of the fence of course it's also a soggy septic field,none
458,"Dress like a hoe, I'm goin at you like a hoe just like any other nite. Forget Halloween.",offensive
495,"Lmfao but "" we don't talk "" gtfoh &#128514;&#128514; bitch I guessed it! &amp; I was right &#128514;&#128527;",offensive
474,Suck my super monkey balls,offensive
241,"""ArizonasFinest6: Why the eggplant emoji doe?""y he say she looked like scream lmao",none
325,"""iTrapWatermelon: tweety bird tho &#128514;&#128514;&#128514;&#128514;",none
529,RT LookinnnAss: - you a pussy I see yo whiskers!,offensive
348,"Mark Teixeira finally stepping up, HR and couple of BBs #Yankees",none
525,Totaled RT CSharp_C3ENT: Crashed dat hoe RT viaNAWF: Drake verse on that nicki &gt;&gt;&gt;&gt;&gt;,offensive
250,NipseyHussle nip Im tryna buy a copy of #Crenshaw!! But your  website is down.. Let me know something!,none
395,Now infuriated Jihadis are putting out murder requests on #Saudi fighter pilots who participated in the bombings in #Syria #ISIS,none
472,"She suckin on my dick, cuz I'm a pretty bitch",offensive
41,"RT Mitchellharri: Dont be a faggot, cover your mouth when you fkn cough or sneeze, I got a immune system to keep strong asshole",hate
569,RT Bayonettes: When you tweet som'n just for laughs &amp; a bitch wanna spoil the fun by getting Serious.. &#128530;&#128530; ,offensive
476,"damn I have nothing to tweet,nothing to complain or bitch about
): lol",offensive
127,Clan of retards...,hate
313,Even the birds think this waking up early thing is bunk. ,none
391,Charlie Baker for Mass Gov..the most lib newspaper in most lib state supports 'R' for Gov! DoG  via BostonGlobe,none
253,Lmfao RT NYDailyNews: The New York Yankees have won 27 World Series titles &#8211;&#160;the most of all-time.,none
12,"#faggots are MERELY a #scientific indicator that SOMETHING IS WRONG&gt; Do not celebrate as ""unique indiviuals"" for they are #cancer&gt;",hate
424,I only like women who&#8217;s pussy smell like burnt cheese,offensive
125,Gutierrez_Alf legit retard,hate
410,RT kingsleyyy: That look after you just put a bitch in their place ,offensive
430,yeah these valley faggots can go fuck themselves,offensive
435,"Talk alot of shit, but if I want ill put u on the spot so don't test me bitch!",offensive
536,RT estradax187: Money is the baddest bitch I know,offensive
304,They say one man's trash is the next man's treasure. Where one finds pain the next might find pleasure.,none
501,macktology101 for reals psycho ass bitch lol,offensive
581,b_shiznitt fuck you bitch,offensive
134,"Roses be red
Orchids be bigger 
Donts tell yo daddy
You fuckin a nigger 
#VDdie",hate
38,I'm seeing more &amp; more niggers migrating further up liberty rd... smh,hate
376,Casey Matthews is so trash this is BIG,none
397,I can't play flappy bird. It makes me angry.,none
553,"_DCorNothing_ KyariesDa4 he should! I got tired of hearing how he can eat pussy 10,000 ways like damn &#128514;&#128514;",offensive
153,Happy Columbus Day! Even #BillMaher likes #cocaine and #Columbus!!! What the fuck is wrong with you #liberals? Fuckin' #moron #retards....,hate
361,"RT scottvtracy: AbuYazidMuawiya amustafaanbari1 Congratulations for reinforcing the stereotype for insecure, uneducated, uncivilized, ba&#8230;",none
251,RT TheVoiceOfMiami: Miami* RT PacDaGoat: Houston has so many trash drivers,none
374,aurabogado el negro?,none
43,rickygervais BORING&amp;HACK allah and mohamed are also against fags.PLEASE mention them as well.did God take away your balls as punishment?,hate
180,"RT AnthonyBialy: Well, Maryland is just a bunch of hateful rednecks, anyway.",hate
396,I love me some chunky babies &#128525;&#128525;,none
238,"The Yankees are playing the tigers tonight. In other words, I am not friends with mtaraban.",none
118,DarienDaywalt bitch shut the fuck up goddam your a slut bitch whore nigga,hate
445,RT Yaremisxo: You hoes ain't worth losing sleep over,offensive
148,Watching the nigger movie Menace2society. Trying to learn more about the enemy. Good reconnaissance.,hate
146,elchavaloko who cares tbh ones a shitty dirty Argentino &amp; the other is a feather fisted nigger,hate
194,S_Roach happy birthday nicca do coon shit in a responsible way.,hate
74,joshgnf brana_nv define808 ironbjk mrjstn oh shut up faggot get a disease overused on twitter,hate
577,Big_Jim777 bitch,offensive
221,"DolfyAdolf 
Y'all gots betta machinery fo dat. Hanger be ghetto",none
167,bitchdicknigga you're a fucking nigger,hate
103,"Funniest yt comment I ever received was ""Niggers gonna nig *shrugs*"" .. lmao racist muthafucka caught me off guard",hate
131,"If a spic ever talks to a white person and the white person kills them, it's self defense.",hate
56,DIVERSITY: Chcgo Blck Pstr Flooded w/ Dth Threats Ovr Endorsement Of GOP Candidate: &#8220;U Sellout Uncle Tom Ass N*gger&#8221; ,hate
220,monkbent What's with that come-at-me-bro bird? Stressful.,none
524,"""XoXo__Angiee: Bruno fag boy"" you love me.",offensive
11,RT NoWomanIsRight: You can be a good girl all you want and those hoes still gonna get us niggas attention from time to time,hate
542,"Real shit. Now if the bitch want some grapes or something, THATS different.",offensive
123,Phillip Rivers look like he almost wants to call dude a nigger for that bad play,hate
92,#Dutch people who live outside of #NewYorkCity are all white trash.,hate
120,Most niccas broke but always n the limelight,hate
431,StephDaMARTIAN they made up endearing names for us like nigger spook &amp; monkey,offensive
94,My neighbors be sick when i wake um up to all this nigger music ctfu,hate
372,Don&#8217;t believe AP&#8217;s ho-hum tone: latest poll is great news for Republicans - Hot Air ,none
55,someones clearly a stinky ass beaner...,hate
320,"I was accused of never taking a full front face shot, so here is one. No slant or angle or nothing. :) ",none
17,ESPN keep hiring these dyke bitches and gay Spanish niggas to talk sports,hate
390,They got David taking out the trash &#128514;&#128514;&#128514;&#128514;,none
478,trash both ways lol RT AgdaCoroner: Bitch Killed Herself....Look Like Bill Maher With Makeup on ,offensive
174,Cute ass niggah. ,hate
497,RT LouieVRee: This bitch feet been through 20 years of slavery ,offensive
105,OVOtilUOverDose flossinlawson11 niggers*,hate
287,RT SeQuoia_Gabris: &#8220;UeonoYungJumbo: SeQuoia_Gabris yeah hoe!&#8221; But the babies are innocent lol so Gabriella still got her sister a birthd&#8230;,none
537,RT therealiman: The price of pussy in Toronto has now declined to one Henessey bottle and a quarter pounder combo with large fries.,offensive
249,"Stop Smokin' Bathsalt, Charlie Brown! #rejectedpeanutsspecials",none
270,Gonna shower for the sole purpose of shampooing my beard.,none
44,Matt_Petrie22 geta Life faggot,hate
60,"RT Bidenshairplugs: Anybody who trashes their own neighborhood after a perceived injustice is a fucking moron. 

#Ferguson",hate
332,"Who remembers when we were in middle school/high school and would throw paper in the trash from our seat and yell ""KOBE!"" Lmfaoooo",none
308,NotEvanLarkin bbcollins32 birds of a feather flock together y'all &#128037;&#128035;,none
267,Ain't no love in the ghetto &#128148;,none
248,"RT marksidaway: Last time #xfactor auditions came to Dublin, I auditioned MaryByrneMusic and NiallOfficial. And a man in a blue monkey s&#8230;",none
433,Hoes be like my niggas can't have no hoes... but that how he meet yo ass!,offensive
161,UberFacts studies show that you're a faggot,hate
271,"RT UberFacts: Mila Kunis has heterochromia iridum which gives her two different colored eyes. One eye is green, the other is brown.",none
375,RT ChamsFace4music: Early bird catches the worm people,none
404,Lol stop fuckin wit dem birds. RT Drako_713 Fuck y'all hoes all y'all do is lie,offensive
491,RT divonte_photos: Momma said no pussy cats inside of my dog house.,offensive
373,&#8220;BestOfAds: Rape? Cannibalism? You Won't Recognize The Original Versions Of These Fairy Tales  man wtf,none
483,RT ZitlalyL: You don't know maybe some bitches like a man in a tutu &#128514;&#128514;&#128054;,offensive
63,"karmendanielle_ u gotta slow down these coon hrs all they know is love n hip hop, lebron, &amp; fake love quotes",hate
98,delaney_guinan a faggot that needs to grow up,hate
159,"StarkFreeOrDie ...I fuckin' want OUT&gt; I'm tired of this bullshit faggot ass, closet racist, wannabe-commune-without-railroad state&gt; #Cali",hate
554,Fat bitches need love too I'll fuck em &#128175;&#128175;,offensive
557,if your trying out for Non-contact hockey dont call anyone else a pussy,offensive
309,"RT BaseballFact: At George Steinbrenner's first Yankees news conference, he said he wouldn't interfere in baseball decisions, promising ...",none
427,mel0_yell0w ain't that a bitch.,offensive
19,Punk ass broke faggots.,hate
580,quezada_carlos7. Right these hoes on my dick about u dats how,offensive
275,RT pambesteder: **WOW* according to this tweet by Tarascan68 Obama must have been an Uncle Tom? ,none
40,RT jasminee_gamboa: hoes will be hoes .,hate
355,I hear the birds in the summer breeze; I drive fast; I am alone at midnight.,none
208,"It's a plane, it's a bird, nah it's just me doing laps around the dam. Lol",none
29,RT InfidelAlie: Yay for America &amp; Israel... we put in more Jew Hating muslim trash into our government! pathetic &amp; sickening,hate
538,peteyhoti aubreykelson 'ell naw dogs run this bitch,offensive
587,deadass wanted the sauce till shit got real then niggas wanna back up ooh iight then smh pussy,offensive
421,Never tell a bitch that I love her,offensive
447,hi_imkadie I wouldn't know cause i don't fuck with these hoes,offensive
155,"sweetakin Only rich white liberals know what's best for black people. If they don't see that, they're obviously Uncle Toms.",hate
136,RT lildurk_: I don't fuck with bitch niggas I only fuck niggas bitches&#128556;,hate
388,#Yankees,none
469,jwill252 We got a win my nicca! Lmao,offensive
368,#Yankees Damn you DirectTv blackout the Yankee game. With a freaking WALK OFF! You're killing me satellite douche.,none
212,"RT PolitiBunny: #YesWeDid attack, harass, threaten, mock and bully any woman or minority who dared not fall in line with our progressive a&#8230;",none
504,RT CodeLez: You gotta know the difference between a good girl and good pussy,offensive
402,LobstrThinkTank but bitch nobody was wanting your ass. U assumed that cuz u let dogs run up in yo filth &amp; u think i want some of it...NOT!,offensive
579,Tylar____ xxJaiLynn Tylar shut up bitch . I usta make you these,offensive
254,slayerific13 daisymcgarr Like I said.. I might have to check but I'm just not sure bird shot counts as getting shot.,none
261,RT earthWormSLIM: if melo go to the bulls they still gon be trash unless melo get special privileges allowin him 2play in a allstar uniform,none
114,"4 old hoes, a ponk, and a dyke outchea having ""girl talk""",hate
213,Cheers young lady RT shik702 BmoreHumble foreverrrr younnnnng *grabs flask and chugs*,none
280,"One of my favorite songs. ""There's a man on the shoreline with a white parakeet trying to make his bird go home."" ",none
199,"""Why people think gay marriage is okay is beyond me. Sorry I don't want my future son seeing 2 fags walking down the street holding hands an",hate
380,them jants be clutch for bedtime tho &#128514;&#128557;,none
432,RT LaVidaJeannette: I hate when a bitch says she dont care if her nigga broke and he got nothing going for himself.. acting like a fake Ri&#8230;,offensive
152,Truth RT Adolfhibsta: Only a faggot would turn down hairy pussy,hate
437,#honestyhour we don't love these hoes,offensive
197,"#AZmonsoon lot of rain, too bad it wasn't enough to wash away the teabagger racist white trash in the state. #Tcot #teaparty #azflooding",hate
462,Let me text my hoes gm or sumpin,offensive
349,"Also, it&#8217;s a hiccup to Jihadi propaganda: they portray themselves as the only ones willing to die for their cause.",none
494,These hoes soo &#127805;&#127936;,offensive
480,RT ikesizzle: RT ericajenee_: &#8220;_SheDAzzle: Ike finna have the bitter bitches upsaught&#8221; - and he don't care lmao | not at all,offensive
367,SteveWorks4You you havent evolved as a human being. Typical meathead redneck. I pity you. You dont know what freedom is about......,none
575,chanelisabeth cuz ur a bird bitch,offensive
323,RT DragonBallDeez: *Atlanta RT PacDaGoat: Houston has so many trash drivers,none
86,Burn bitch ,hate
129,"""Hey go look at that video of the man that found the kidnapped girls in Ohio........what a nigger"" - #shitmybosssays",hate
406,"Do you expect me to be cute with you? Oh, hell no. I'm not a bitch, cuteness gets you planted in a relationship; a relationship you'll hate.",offensive
439,Nicki gottem MAD AS FUCK tho. However credit due to cassidy for the response he didn't diss nicki but killed you lookin ass bitches,offensive
492,So I keep cool but in the back of my mind I'm like did des hoes just come on my mf porch like ik dem,offensive
417,_lexisperez he ate my pussy i could..,offensive
559,b_shiznitt you lying bitch,offensive
80,"Bitch ass nigga, be hating on black women... Uncle Tom bitch punk.",hate
303,"RT EchelonInsights: Rick Scott beating win number in 30 counties, Charlie Crist in 13. #FLGOV",none
450,do bitches still love sosa? lmfaoooooooooooo,offensive
416,DarkLiquaNigga_ nigga grow some balls and concentrate pussy!!,offensive
85,sophhh_marie ugly emo trash go cut,hate
71,THERACISTDOCTOR One less little nigger that would grow up into a big nigger.,hate
407,Die twice bitch &#8220;DivaMonRoe2uHoE: Thank you. &#128536; &#8220;07Cannon: DivaMonRoe2uHoE you're the filthiest hoe of all time ,offensive
345,"I been to mushroom mountain
Once or twice but who's countin'
But nothin compares
To these blue &amp; yellow purple pills&#128156; ",none
121,RT librarianknight: More queer lady Templars. That's my point.,hate
169,"RT Tyler_Weddle_23: &#8220;Sexualgif: ""I hate that hoe already"" &#128514;&#128128;  &#128514;&#128514;&#128514; this shit cracks me up!",hate
574,This bitch needs to turn off her shitty music &#128544;,offensive
518,"I broke baby outta his thug stage n turned him into a pussy &#128514; , it was hard but I did it &#128129;&#128537; now he show more feelings than a lit bit",offensive
2,RT natal_mendoz: Whore slut cunt bitch nigga,hate
502,"She must not know I got over 3,000 followers breh this bitch gotta get the fuck up outta this VIP section dawg she decreasing my value",offensive
329,RT ProBirdRights: A marry between a man and woman people sloppery slop;then what is prevent a bird from marriage my sandwich??? I'm in lo&#8230;,none
555,I be joked out at half the broads on here that brag about how good they pussy/head game is...,offensive
138,America is white trash and so are all Americans.,hate
6,AndrewJBurns1 Tommy_Russell_ homo ass crackers,hate
205,85 species of birds reported in Chesterfield for the Great Backyard Bird Count. How many in your area? ,none
411,RT SLeyTMF: I aint nun to cut that bitch off,offensive
225,Abels_Masochist you're not ghetto tho. You can live in the hood and not be ghetto #facts,none
255,99 percent of the trash we dump in the sea is missing. This is not a good thing &#8594;  ,none
496,REAL NIGGA SPEAKING &#8220;DEON1093: PAPER_CHAYSIN you sound like a bitch&#8221;,offensive
486,RT IceTeaa__: The hoes yall chase want me &#128175;,offensive
196,RT XdalovelyTishai: Most of these niggas go broke for these hoes,hate
124,This nigga jerry room smell like bad pussy!&#128530;,hate
327,"lmaoooo RT ComedyTruth: Girls, don't let a guy treat you like a yellow starburst. You are a pink starburst.",none
14,SweetKixx u see a lame in that pic ofmine due to your infatuation with niggers. Im Hebrew i fite the children of satan in the streets,hate
112,CBSThisMorning charlierose racist NorahODonnell tx trash racist why wld u intvw MittRomney n ask racist questions itwas so disrespectful,hate
34,RT NerdAtCoolTable: RT RealSheemBacc: For every bad bitch there is a nigga who treats them like shit &amp; yet they stay..... I wanna ...,hate
242,Apple need to add some colored emoji,none
509,cristiannt_ nigga you beat who ass bitch we've never even fought so u need to stop making up shit and bring yo ass with them,offensive
233,"Do birds have dongs? How do they mate? Help me, I'm an adult who doesn't know how animal sex works!!!",none
32,"Pop a nigguh, sound like crisco",hate
335,SactownProidgy SpeakComedy yunglucy_ karon_avila I just noticed you guys called me a jiggaboo,none
168,Vanessa is such a fuckin faggot.,hate
45,"Gave her that ""move it lil nigger"" push smh.. ",hate
423,Bitches be like I want something real ... And I be like I want a bitch with real hair but we can't always get what we want now can we lol,offensive
218,"""EdgarPixar: Overdosing on heavy drugs doesn't sound bad tonight."" I do that pussy shit every day.",none
200,EXPOSED: Jihadi kidnap and murder handbook... and plan to infiltrate British Army and police  via wordpressdotcom,none
545,Where the hoes at ? We looking for the hoes AYEEE,offensive
434,RT _James_Kirby_: The bigger the hoops the bigger the hoe #jerryspringer #classic #truthhurts,offensive
57,JadeGreenleaf fag,hate
384,"RT weakenednachos: last thought before bed: in '92 we had a ""mock election"" in 3rd grade and i voted for Perot. maybe i related to his rea&#8230;",none
379,"RT SportsCenter: A WILD one in the Bronx.
Yankees score 6 runs in bottom of 7th to take 8-7 lead over Red Sox.
The half-inning took THIRTY&#8230;",none
102,OG_HARM moetzart duckydynamo look at this nigger ass nigger shit right here,hate
583,That bitch is corn fed,offensive
259,My mama made me some brownies they was everything &#128553;,none
276,Thinking bout those oysters at the gator bait tho&#128533;,none
190,"Eh bitch!? How about you worry about your own psychotic ass. Looks like you need to ""be saved"" from being a noisy bitch &#9996;&#65039;&#128139; #cantStandUcunt",hate
132,fucking CHRIST i hate tutors and TAs. you literally get paid to teach retards to stop picking their nose. GET THE FUCK OUTTA MY FACE,hate
517,RT Brucewayneakia: This is what the niggers dont like ,offensive
166,BossMelle never followed him ignorant monkey,hate
526,"I watched one and a bitch holding the camera said ""yall need to hurry up...my battery's about to die!"" NOOOOO!",offensive
223,I was in love with Charlie &#128553;,none
513,""" cancel that bitch like Nino """,offensive
588,These groupie bitches wild enough to suck a babies dick,offensive
392,TheLittleFella_ OLE_VertyBstard thereal_EMandM Justinrogo01 boooooooo that was trash,none
490,I gotta big head yah bitch I think it's crown sized,offensive
301,RT SuzanneEvans1: The Shocking True Stories Behind Your Favorite Classic Fairy Tales  via HuffPostBooks,none
463,"&#8220;FriendlyAssh0le: 5'3 200 lbs aint thick bitch, you a fucking warthog&#8221;&#128514;",offensive
187,I still think snap chat for faggots and High Schoolers,hate
285,Flyers4Cup boy I had no idea that was coming. It's called a smartphone. You're horrible at trash talk,none
457,"RT KillAllSimps: If this nigga Kanye took Kim K to Wendy's, this means y'all regular hoes don't deserve them $200 dates ",offensive
298,RT cwissi: beanies for life &#9697;&#776;&#8413; ,none
231,FuckKennyJ trash,none
596,Lmao look at these hoes RT RareHipHopPic: ,offensive
468,"RT SexTaIk: When you have a good girl, say no to hoes",offensive
385,segment finally did it. NEVER again watching #teabagger propaganda in the morning on #msnbc again. bpshow on #currenttv for me #morningjoe,none
403,Fuck all y'all hoes &#128567; gang shit &#128175;&#128175;,offensive
302,"after the steelers lost the superbowl i loaded up the black and yellow gmix on my moms computer, i think the youtube page is still open",none
128,"If you say any of the following words the convo is over: nigger, nigga, swag, yolo, fag, retard.",hate
365,imgooby you're not funny trash,none
104,georgiathenewsa you look like a welfare bitch compared to Latinas I date and fuck. You need fashion and makeup tips tbh,hate
262,"#BigBird was made by a gay couple. So yes, under a GOP world the bird would not have existed since its creators would be in jail for sodomy.",none
341,"A white lighter is bad luck, not yellow ur stupid",none
157,JGardenofEden KySportsRadio ryanlemond But...country music listeners really are hicks and alcoholics &#128514;&#128514;,hate
382,RT camilleftansel: i've read the hunger games 12 times i am trash,none
319,SoWavyTee hey Hun!,none
293,Sooo my first aid/cpr certification came in handy tonight. Glad I didn't lose my monkey Bekkalina13,none
222,Praise thy lord for this season of beanies that is upon us,none
110,RT jjauthor: US ghettos-driven by liberal ideology; forged by unions &amp; bankrupted by self-serving Dems catering to parasites!#tcot ,hate
122,The #south of the US is white trash.,hate
393,RT dsrtvet: FoxNews tjoy7 And I don't have any confidence NONWHATSOEVER in you Barack! You're the sole reason why this country is in thi&#8230;,none
336,RT kostaskarelis: Cincy fans talk trash about the city of #CLE and then root for the Cavs like they belong. #stillCLE #CLEallday #GoBrowns,none
338,This no beef thing is for the birds!!!,none
328,rasheedibrahim_ once it gets cold yall gonna be trash again lol,none
505,RT _MCBaybeh1218: Keep ur bitch on a leash .,offensive
426,"RT LessonswithKate: you got hoes, I got niggas.",offensive
357,IMNOTMAKINGITUP Hey u just followed me not long ago. Gonna nip that in da bud. like ur bio tho. U know the white devils stole our our,none
51,bitch you're white stfu with your shitty Spanish,hate
164,I knows y'all white folk only be playin wit me. I colored and I knows my place,hate
477,"DionPrimo The soul has departed from the train.There's no more soul in music.Just hunger for bitches,money and fame.",offensive
252,Jihadis circulating a video of the killing by Boko Haram of a Nigerian pilot captured after his helicopter was shoot down,none
597,Bad lil short fine bitch lil petite sumn,offensive
366,I'm hooked on monkey phonics.,none
387,No cuz redskins are dumpster juice RT trackinBlackKev: game of the week. still the best rivalry in sports,none
460,"I miss her but I can't bitch I was the one who fucked up, whatever",offensive
408,"RT Tahrell: Now, bitches gonna think just because they're married, they're better than every female that's not. Smh",offensive
181,"Niggas are so fucking gay... And they try to cancel it out by saying ""nah were bros it's cool"" nahhhhhaahahahaha you a faggot bruh",hate
441,"&#8220;itsDeSha__: I don't take people niggas bitches don't play about they niggas , specially they baby daddies &#128557;&#128514;&#128514;&#128514;&#8221;No BS",offensive
550,Oh my god oh my god.. I'm going to a bitch mob party today oh my god,offensive
47,RT jaymesshaylan: fuuck jalens a slow bitch!,hate
562,lilylovescamel auroraabartlett I like that your room isn't a big sloppy mess like most of these Twitter hoes,offensive
475,I'm a hoe for that &#128557;&#128557;&#128557;&#128557;&#128557;&#128514;&#128514;&#128514;&#128514;&#128514;,offensive
440,"RT skankymunter: Pissed in shower, now checking for yellow legs.",offensive
96,RT MANIAC3X: Buckm00se I'd rather be from a rancho then live in ghetto ass urban areas with niggers and nigger impersonators. Adopting ni&#8230;,hate
202,elchavaloko pinche panamonos negros me Dan asco,none
70,gvvenivere learn how to type ya hillbilly,hate
99,"You #football #nigga #KISS #ISIS #wifebeater #faggots&gt; WE SEE YOU&gt; Shout it out to the RADICAL #IslamNation, #YO&gt;",hate
381,"If you think that the term #redskins being offensive is a political issue, you are ignorant.",none
599,Get on your mutha fucking shit hoe.,offensive
418,I tell this bitch followback. She RTs me saying followback. Then doesn't followback. Blocked like fuck,offensive
84,Smh hate that hoe,hate
530,well i want to be Victoria's Secret dyke angel&#128124;&#128149;,offensive
317,You NEED an iPhone to use their stupid watch? Apple is just grabbing people ankles and shaking the money out of rubes pockets.,none
487,Horny mature babe in a kimono has her pussy fingered and&#160;fucked ,offensive
340,RT gojackets973: WesDurham its the start of another yellow jacket season tonight!!! How about a RT for ALL the Jacket Fans!!! #GTVT1 ...,none
3,Scandal: A Negro Bed Wench's Fairy-tale and propaganda:  via YouTube: A must see for Hebrew Daughters of Zion!,hate
170,coons,hate
175,Blackman38Tide lmfao go to bed whitey &#128129;,hate
61,you a pussy ass nigga and I know it nigga.,hate
